"Hugo_Symbol","LUAD","COAD","pval","or","ci.up","ci.low","adjPval"
"APC",31,325,7.99251707986294e-126,0.0213230891226612,0.0325445164203164,0.0135831704436341,1.06748058118649e-121
"PIK3CA",32,135,3.35138401909305e-28,0.130140064551893,0.197684575712027,0.0835762898508924,2.23805424795034e-24
"RNF43",6,68,2.45430681871921e-20,0.056100382923732,0.130284683763253,0.0196767015200833,1.09265739569379e-16
"FBXW7",11,76,1.74130809186268e-19,0.0908709383068683,0.174727743340058,0.0429552426873612,5.81422771872947e-16
"SOX9",6,65,3.22363883293996e-19,0.0591425810554233,0.137653155976917,0.0207282196620159,8.61098405054922e-16
"KEAP1",100,7,3.84010387777991e-18,12.3790534670441,31.9183649367438,5.71098031069393,8.54807123193807e-15
"DOCK3",13,73,4.44417233182095e-17,0.113008523034775,0.209050935895768,0.0566517369884087,8.47948080911436e-14
"BMPR2",7,56,3.62154239674683e-15,0.0820549546998398,0.182898867898986,0.0312393414422562,6.04616503136884e-12
"ACVR2A",12,59,4.71238186478666e-13,0.133575275474631,0.255175516723939,0.0645005649467076,6.99317468734341e-10
"MBD6",3,41,5.74570953318447e-13,0.0495214262396503,0.156836742553321,0.00973498547505556,7.67396965252118e-10
"SYNE1",75,136,8.25071929982801e-13,0.325531435954899,0.450032795810116,0.234168119946777,1.0017873360773e-09
"TEAD2",1,34,2.32591004306015e-12,0.0202097134298412,0.121301311776312,0.000499538556396407,2.58873787792595e-09
"KMT2B",12,56,7.40441755310406e-12,0.141797405864295,0.271860465263008,0.0683123837650905,7.60718467994291e-09
"ANKRD11",7,45,2.5983303993708e-11,0.104932345784062,0.237419343326852,0.0395000716539938,2.47880720099975e-08
"MDN1",24,70,6.1628517057759e-11,0.223286680458493,0.366789699955039,0.131863881169673,5.48740315882286e-08
"CSMD3",242,95,9.12781771282915e-11,2.44998793735976,3.27541999340309,1.84191658032952,7.61944583578413e-08
"STK11",66,7,3.60790798648125e-10,7.6692539591405,20.0104963074873,3.47447645267657,2.83454229808492e-07
"MIDEAS",3,32,9.61303347290035e-10,0.0648207251850794,0.20924275599403,0.0126225720049627,7.13287083689206e-07
"TCF7L2",12,47,2.72134147559598e-09,0.172735734218522,0.33575169416408,0.0823556241217224,1.85134223774677e-06
"EGFR",85,16,2.77230044586218e-09,4.38671502477561,8.14390336527886,2.50680483826662,1.85134223774677e-06
"HNRNPL",2,28,3.78522221723156e-09,0.0497765424034409,0.199171399989708,0.00572560821545688,2.40740133015927e-06
"XYLT2",5,34,5.38738649400279e-09,0.101522554091228,0.263889780035538,0.0307319512135457,3.14039498284844e-06
"FKBP15",1,25,5.40798776621099e-09,0.028028038984305,0.172562617184829,0.000684885705006161,3.14039498284844e-06
"IQCA1",2,27,8.61672883220645e-09,0.051740257036336,0.207715307727583,0.00593973177473426,4.79520959512289e-06
"TLR4",67,10,1.32982859530159e-08,5.42388944650451,11.9662536220664,2.73307060978632,6.91965862091848e-06
"KRAS",158,192,1.34704345720186e-08,0.472888038596799,0.617771671356301,0.361467183894826,6.91965862091848e-06
"REG3A",41,2,1.69517273174704e-08,16.1267856205894,138.280707207981,4.1497323162409,8.15662098669197e-06
"BCL9",11,43,1.78991891192611e-08,0.174475966912104,0.349066793527217,0.0801683550343517,8.15662098669197e-06
"AKAP12",10,41,1.9297102297518e-08,0.166887788713708,0.343539024593642,0.0737087752099862,8.15662098669197e-06
"HLA-B",2,26,1.95426678327451e-08,0.0538549858359674,0.216996216690507,0.00616967005534872,8.15662098669197e-06
"MAP7D1",2,26,1.95426678327451e-08,0.0538549858359674,0.216996216690507,0.00616967005534872,8.15662098669197e-06
"MRTFA",2,26,1.95426678327451e-08,0.0538549858359674,0.216996216690507,0.00616967005534872,8.15662098669197e-06
